"Station","Date","Daily.Rainfall.Total..mm.","Longitude","Latitude"
"Botanic Garden",2019-04-14,0.4,103.818,1.3087
"Botanic Garden",2019-04-15,0,103.818,1.3087
"Botanic Garden",2019-04-16,0,103.818,1.3087
"Botanic Garden",2019-04-17,0,103.818,1.3087
"Botanic Garden",2019-04-18,0,103.818,1.3087
"Botanic Garden",2019-04-19,1.6,103.818,1.3087
"Botanic Garden",2019-04-20,3.4,103.818,1.3087
"Botanic Garden",2019-04-21,0,103.818,1.3087
"Botanic Garden",2019-04-22,0.4,103.818,1.3087
"Botanic Garden",2019-04-23,48,103.818,1.3087
"Botanic Garden",2019-04-24,15.6,103.818,1.3087
"Botanic Garden",2019-04-25,0,103.818,1.3087
"Botanic Garden",2019-04-26,37.6,103.818,1.3087
"Botanic Garden",2019-04-27,13,103.818,1.3087
"Botanic Garden",2019-04-28,0.4,103.818,1.3087
"Botanic Garden",2019-04-29,0,103.818,1.3087
"Botanic Garden",2019-04-30,0,103.818,1.3087
"Botanic Garden",2019-05-01,0,103.818,1.3087
"Botanic Garden",2019-05-02,0,103.818,1.3087
"Botanic Garden",2019-05-03,9.4,103.818,1.3087
"Botanic Garden",2019-05-04,2.6,103.818,1.3087
"Botanic Garden",2019-05-05,0.2,103.818,1.3087
"Botanic Garden",2019-05-06,0,103.818,1.3087
"Botanic Garden",2019-05-07,1.2,103.818,1.3087
"Botanic Garden",2019-05-08,61.8,103.818,1.3087
"Botanic Garden",2019-05-09,0.6,103.818,1.3087
"Botanic Garden",2019-05-10,57.6,103.818,1.3087
"Botanic Garden",2019-05-11,0.4,103.818,1.3087
